2017-02-15 20:19:43 status half-configured base-files:amd64 9.4ubuntu4
2017-02-15 20:19:43 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:43 status half-installed base-files:amd64 9.4ubuntu4
2017-02-15 20:19:43 status half-installed base-files:amd64 9.4ubuntu4
2017-02-15 20:19:43 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:43 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:43 upgrade base-passwd:amd64 3.5.39 3.5.39
2017-02-15 20:19:43 status half-configured base-passwd:amd64 3.5.39
2017-02-15 20:19:43 status unpacked base-passwd:amd64 3.5.39
2017-02-15 20:19:43 status half-installed base-passwd:amd64 3.5.39
2017-02-15 20:19:43 status half-installed base-passwd:amd64 3.5.39
2017-02-15 20:19:43 status unpacked base-passwd:amd64 3.5.39
2017-02-15 20:19:43 status unpacked base-passwd:amd64 3.5.39
2017-02-15 20:19:43 install bash:amd64 <none> 4.3-14ubuntu1
2017-02-15 20:19:43 status half-installed bash:amd64 4.3-14ubuntu1
2017-02-15 20:19:43 status unpacked bash:amd64 4.3-14ubuntu1
2017-02-15 20:19:43 status unpacked bash:amd64 4.3-14ubuntu1
2017-02-15 20:19:44 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2017-02-15 20:19:44 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2017-02-15 20:19:44 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2017-02-15 20:19:44 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2017-02-15 20:19:44 install coreutils:amd64 <none> 8.25-2ubuntu2
2017-02-15 20:19:44 status half-installed coreutils:amd64 8.25-2ubuntu2
2017-02-15 20:19:44 status unpacked coreutils:amd64 8.25-2ubuntu2
2017-02-15 20:19:44 status unpacked coreutils:amd64 8.25-2ubuntu2
2017-02-15 20:19:44 install dash:amd64 <none> 0.5.8-2.1ubuntu2
2017-02-15 20:19:44 status half-installed dash:amd64 0.5.8-2.1ubuntu2
2017-02-15 20:19:44 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2017-02-15 20:19:44 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2017-02-15 20:19:44 upgrade debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2017-02-15 20:19:44 status half-configured debconf:all 1.5.58ubuntu1
2017-02-15 20:19:44 status unpacked debconf:all 1.5.58ubuntu1
2017-02-15 20:19:44 status half-installed debconf:all 1.5.58ubuntu1
2017-02-15 20:19:44 status half-installed debconf:all 1.5.58ubuntu1
